encoded_feature_0,target,Date,Cluster,Host,Disk,Prediction
0.7515164,0,2024-11-23,cluster_A,host_1,disk1,T
0.111548305,0,2024-11-23,cluster_A,host_1,disk1,T
0.19924685,0,2024-11-23,cluster_A,host_1,disk1,T
0.50280356,0,2024-11-23,cluster_A,host_1,disk1,T
0.5013629,0,2024-11-23,cluster_A,host_1,disk1,T
0.35957718,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.53009343,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.9756744,0,2024-11-23,cluster_A,host_1,disk1,T
0.15224564,0,2024-11-23,cluster_A,host_1,disk1,T
0.06157562,0,2024-11-23,cluster_A,host_1,disk1,T
1.277361,0,2024-11-23,cluster_A,host_1,disk1,T
0.16037188,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.12172845,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.9945594,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.17413974,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.35612118,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.2959291,0,2024-11-23,cluster_A,host_1,disk1,T
0.37052995,0,2024-11-23,cluster_A,host_1,disk1,T
0.46775997,0,2024-11-23,cluster_A,host_1,disk1,T
1.2220222,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.18836263,0,2024-11-23,cluster_A,host_1,disk1,T
0.48983145,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.29798383,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.2719165,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.43808708,0,2024-11-23,cluster_A,host_1,disk1,T
0.24254662,0,2024-11-23,cluster_A,host_1,disk1,T
0.48283046,0,2024-11-23,cluster_A,host_1,disk1,T
0.42935503,0,2024-11-23,cluster_A,host_1,disk1,T
0.15960841,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
1.1157769,0,2024-11-23,cluster_A,host_1,disk1,T
0.031552106,0,2024-11-23,cluster_A,host_1,disk1,T
1.2132189,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.062826395,0,2024-11-23,cluster_A,host_1,disk1,T
1.2009387,0,2024-11-23,cluster_A,host_1,disk1,T
0.24256185,0,2024-11-23,cluster_A,host_1,disk1,T
1.1345522,0,2024-11-23,cluster_A,host_1,disk1,T
0.73974913,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.33750483,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
0.0,0,2024-11-23,cluster_A,host_1,disk1,T
