cluster_host,anomaly,Date,Cluster,Host,Disk,Prediction
"('cluster_A', 'host_1')",0,2024-11-23,cluster_A,host_1,disk1,
"('cluster_A', 'host_10')",1,2024-11-23,cluster_A,host_10,disk1,T
"('cluster_A', 'host_11')",0,2024-11-23,cluster_A,host_11,disk1,
"('cluster_A', 'host_12')",0,2024-11-23,cluster_A,host_12,disk1,
"('cluster_A', 'host_13')",0,2024-11-23,cluster_A,host_13,disk1,
"('cluster_A', 'host_14')",0,2024-11-23,cluster_A,host_14,disk1,
"('cluster_A', 'host_15')",1,2024-11-23,cluster_A,host_15,disk1,T
"('cluster_A', 'host_16')",0,2024-11-23,cluster_A,host_16,disk1,
"('cluster_A', 'host_17')",0,2024-11-23,cluster_A,host_17,disk1,
"('cluster_A', 'host_18')",1,2024-11-23,cluster_A,host_18,disk1,T
"('cluster_A', 'host_19')",1,2024-11-23,cluster_A,host_19,disk1,T
"('cluster_A', 'host_2')",0,2024-11-23,cluster_A,host_2,disk1,
"('cluster_A', 'host_20')",1,2024-11-23,cluster_A,host_20,disk1,T
"('cluster_A', 'host_21')",1,2024-11-23,cluster_A,host_21,disk1,T
"('cluster_A', 'host_22')",0,2024-11-23,cluster_A,host_22,disk1,
"('cluster_A', 'host_23')",1,2024-11-23,cluster_A,host_23,disk1,T
"('cluster_A', 'host_24')",0,2024-11-23,cluster_A,host_24,disk1,
"('cluster_A', 'host_25')",1,2024-11-23,cluster_A,host_25,disk1,T
"('cluster_A', 'host_26')",1,2024-11-23,cluster_A,host_26,disk1,T
"('cluster_A', 'host_27')",1,2024-11-23,cluster_A,host_27,disk1,T
"('cluster_A', 'host_28')",1,2024-11-23,cluster_A,host_28,disk1,T
"('cluster_A', 'host_29')",0,2024-11-23,cluster_A,host_29,disk1,
"('cluster_A', 'host_3')",0,2024-11-23,cluster_A,host_3,disk1,
"('cluster_A', 'host_30')",1,2024-11-23,cluster_A,host_30,disk1,T
"('cluster_A', 'host_4')",1,2024-11-23,cluster_A,host_4,disk1,T
"('cluster_A', 'host_5')",1,2024-11-23,cluster_A,host_5,disk1,T
"('cluster_A', 'host_6')",0,2024-11-23,cluster_A,host_6,disk1,
"('cluster_A', 'host_7')",0,2024-11-23,cluster_A,host_7,disk1,
"('cluster_A', 'host_8')",0,2024-11-23,cluster_A,host_8,disk1,
"('cluster_A', 'host_9')",0,2024-11-23,cluster_A,host_9,disk1,
